afr Afrikaans
bos Bosnian
deu German
est Estonian
fra French
ind Indonesian
lav Latvian
por Portuguese
rus Russian
swe Swedish
ara Arabic
ces Czech
ell Greek
fas Persian
heb Hebrew
ita Italian
nor Norwegian
ptb Brazilian Portuguese
sqi Albanian
tur Turkish
bel Belarusian
dan Danish
spa Spanish
fin Finnish
hun Hungarian
lit Lithuanian
pol Polish
ron Romanian
srp Serbian
ukr Ukrainian
